yield
16.19188
14.20562
13.5376
15.4504
15.36049
14.67568
13.411
15.413
15.59889
14.89964
16.03569
15.5894
16.10695
15.74734
15.17947
29.03573
29.38118
29.23651
29.7833
27.73451
27.46256
