E
2526.14746
2562.11053
2377.86801
2433.06207
2350.67932
2572.82953
2453.74273
2645.2747
2424.74616
2463.01247
2472.46459
2538.38265
2535.54101
2469.91334
2404.02447
2520.74735
2585.3874
2504.30125
