E
2637.92483
2697.02374
2714.81342
2711.23238
2750.71672
2730.66639
2645.19293
2779.21029
2596.73679
2683.60486
2334.95447
2741.45358
2750.1516
2526.51394
2582.26985
2498.71869
2496.48215
2568.45444
2578.54916
2689.05476
