E
147.31352
178.17513
185.27517
202.694
196.15947
152.98244
185.53439
246.97132
208.6521
191.12702
159.55098
175.74098
253.8119
243.89666
259.6664
216.22391
220.1312
272.65686
333.2478
282.17016
258.75486
248.83177
297.25109
266.30909
349.59254
266.02765
357.60704
333.70859
397.12928
369.54439
352.05741
330.45298
305.59125
302.51086
376.16213
371.2828
403.69721
403.69721
337.97152
315.58241
408.57242
418.1494
425.07747
424.58788
364.43723
372.62164
439.91729
360.26018
398.43746
435.18915
436.57697
438.42672
573.66953
617.66557
632.16341
623.64282
595.88294
627.64154
647.32589
635.80654
613.98164
637.79087
620.34233
676.18892
656.93607
646.56682
663.2252
640.21055
664.16206
634.14091
668.21213
701.70215
638.65717
656.50432
683.78608
679.50269
700.31499
682.54839
685.95777
690.47671
699.22775
714.90827
690.97838
704.01869
735.01377
718.20641
720.59073
725.44202
724.47372
716.40364
733.94576
737.92225
743.63614
750.46146
780.80996
787.2358
785.06125
781.7608
742.53506
792.33055
374.2425098
575.9218848
674.4922544
657.0804584
264.0882633
679.0126731
704.0528181
795.7221969
725.9673167
403.6078176
718.0929197
338.8177037
327.0448607
676.8779139
646.6855269
233.4716504
240.8891089
294.6994837
163.0203623
648.1288506
